Name,census_block_GEOID,fc_in_BG_g,TreeTarget,SurfaceTem,IncPr,IncomeGrp,PopDensGrp
"Dayton, OH",391130402041005.00,0.124764299,0.117250674,28.54230769,20227,1,3
"Dayton, OH",391130402041002.00,0.111583422,0.117250674,28.7125,20227,1,3
"Dayton, OH",391130402041001.00,0.147316933,0.117250674,28.10862069,20227,1,3
"Dayton, OH",391130906002037.00,0.221403645,0.117250674,28.01666667,16388,1,3
"Dayton, OH",391130906002040.00,0.377305272,0.117250674,27.81511628,16388,1,3
"Dayton, OH",391130906002038.00,0.383780141,0.117250674,27.82636364,16388,1,3
"Dayton, OH",391130906002043.00,0.331616227,0.117250674,27.79285714,16388,1,3
"Dayton, OH",391130906002033.00,0.423211781,0.117250674,27.10384615,16388,1,3
"Dayton, OH",391130906002031.00,0.321121084,0.117250674,27.64130435,16388,1,3
"Dayton, OH",391130906002042.00,0.292721293,0.117250674,27.68793103,16388,1,3
"Dayton, OH",391130906002041.00,0.259266055,0.117250674,27.70416667,16388,1,3
"Dayton, OH",391130906002044.00,0.263380708,0.117250674,28.159375,16388,1,3
"Dayton, OH",391130906002032.00,0.253150882,0.117250674,27.942,16388,1,3
"Dayton, OH",391130906002039.00,0.350367647,0.117250674,27.90833333,16388,1,3
"Dayton, OH",390572403011001.00,0.102073365,0.117250674,30.45,18180,1,3
"Dayton, OH",390572403011015.00,0.006010518,0.117250674,30.3,18180,1,3
"Dayton, OH",390572403011014.00,0.205142967,0.117250674,30.28913044,18180,1,3
"Dayton, OH",391130011002008.00,0.056703629,0.117250674,27.85588235,10501,1,3
"Dayton, OH",390572001042057.00,0.030943396,0.117250674,29.6,8201,1,3
"Dayton, OH",390572001042040.00,0.175777414,0.117250674,28.24240506,8201,1,3
"Dayton, OH",390572001042049.00,0.008941878,0.117250674,28.46,8201,1,3
"Dayton, OH",390572001042051.00,0.062524023,0.117250674,29.05289855,8201,1,3
"Dayton, OH",391130034031000.00,0.038483305,0.117250674,29.07752294,3595,1,3
"Dayton, OH",391130806002023.00,0.003690037,0.117250674,0,15118,1,3
"Dayton, OH",391130018001005.00,0.157202216,0.117250674,26.36428571,12308,1,3
"Dayton, OH",391130018001003.00,0.130477118,0.117250674,27.628125,12308,1,3
"Dayton, OH",391130009002004.00,0.204423918,0.117250674,27.22647059,14356,1,3
"Dayton, OH",391130009002002.00,0.245413364,0.117250674,27.39871795,14356,1,3
"Dayton, OH",391130009002008.00,0.219123506,0.117250674,27.57857143,14356,1,3
"Dayton, OH",391131651001016.00,0.049671485,0.117250674,28.31666667,10774,1,3
"Dayton, OH",391130701022006.00,0.033232628,0.117250674,29.31,17430,1,3
"Dayton, OH",391130804002031.00,0,0.117250674,28.4,17687,1,3
"Dayton, OH",391130804002035.00,0.100817439,0.117250674,28.05,17687,1,3
"Dayton, OH",391130804002030.00,0.060559006,0.117250674,28.31666667,17687,1,3
"Dayton, OH",391130804002032.00,0.045454545,0.117250674,28.55,17687,1,3
"Dayton, OH",391130804002033.00,0.087330873,0.117250674,28.4,17687,1,3
"Dayton, OH",391130804002029.00,0.088186356,0.117250674,28.75,17687,1,3
"Dayton, OH",391130011003012.00,0.038993265,0.117250674,26.95769231,18984,1,3
"Dayton, OH",391130011003013.00,0.060742407,0.117250674,27.6625,18984,1,3
"Dayton, OH",391130011003008.00,0.127848976,0.117250674,28.64285714,18984,1,3
"Dayton, OH",391130041001020.00,0.077575827,0.117250674,28.438,6441,1,3
"Dayton, OH",391130041001042.00,0.039101498,0.117250674,28.67857143,6441,1,3
"Dayton, OH",391130041001021.00,0.110864745,0.117250674,28.71,6441,1,3
"Dayton, OH",391130029003017.00,0.038366337,0.117250674,28.29444444,18473,1,3
"Dayton, OH",391130003001016.00,0.1628734,0.117250674,28.2375,14380,1,3
"Dayton, OH",391130005003001.00,0.123269317,0.117250674,28.15952381,15148,1,3
"Dayton, OH",391131001014008.00,0.019705603,0.117250674,29.76,19758,1,3
"Dayton, OH",391131001014005.00,0.094461901,0.117250674,29.82,19758,1,3
"Dayton, OH",391131001014004.00,0.042233098,0.117250674,30.30909091,19758,1,3
"Dayton, OH",391131001014002.00,0.014750068,0.117250674,29.12647059,19758,1,3
"Dayton, OH",391131001014010.00,0.054812834,0.117250674,30.23333333,19758,1,3
"Dayton, OH",391131001014006.00,0.00657277,0.117250674,29.99,19758,1,3
"Dayton, OH",391131001014009.00,0.071405802,0.117250674,30.31666667,19758,1,3
"Dayton, OH",391130007003001.00,0.140275049,0.117250674,27.33333333,14896,1,3
"Dayton, OH",391130034022020.00,0.060606061,0.117250674,29.21666667,8753,1,3
"Dayton, OH",391130034022000.00,0.053180212,0.117250674,29.934,8753,1,3
"Dayton, OH",391130034022010.00,0.030282638,0.117250674,29.80555556,8753,1,3
"Dayton, OH",391130034022027.00,0.088378566,0.117250674,28.66428571,8753,1,3
"Dayton, OH",391130034022001.00,0.041704858,0.117250674,30.32894737,8753,1,3
"Dayton, OH",391130034022002.00,0.057432432,0.117250674,30.755,8753,1,3
"Dayton, OH",391130505021039.00,0.140074707,0.117250674,26.53823529,17204,1,3
"Dayton, OH",391130026001005.00,0.161604585,0.117250674,28.14,19004,1,3
"Dayton, OH",391130026001013.00,0.059349836,0.117250674,29.13461539,19004,1,3
"Dayton, OH",391130026001020.00,0.078583765,0.117250674,28.75833333,19004,1,3
"Dayton, OH",391130026001007.00,0.044451257,0.117250674,29.49,19004,1,3
"Dayton, OH",391130026001008.00,0.059993371,0.117250674,30.025,19004,1,3
"Dayton, OH",391130026001002.00,0.083764706,0.117250674,28.95,19004,1,3
"Dayton, OH",391130026001015.00,0.086736056,0.117250674,29.43333333,19004,1,3
"Dayton, OH",391130026001021.00,0.072734196,0.117250674,29.45,19004,1,3
"Dayton, OH",391130026001011.00,0.04467491,0.117250674,28.75,19004,1,3
"Dayton, OH",391130026001012.00,0.040553589,0.117250674,28.41,19004,1,3
"Dayton, OH",391130026001018.00,0.20240749,0.117250674,27.82,19004,1,3
"Dayton, OH",391130026001014.00,0.049728752,0.117250674,29.30714286,19004,1,3
"Dayton, OH",391130026001022.00,0.071916432,0.117250674,29.23888889,19004,1,3
"Dayton, OH",391130026001023.00,0.077083333,0.117250674,28.60263158,19004,1,3
"Dayton, OH",391130026001009.00,0.021260724,0.117250674,29.93888889,19004,1,3
"Dayton, OH",391130017001043.00,0,0.117250674,0,14151,1,3
"Dayton, OH",391130017001061.00,0.110156645,0.117250674,29.6,14151,1,3
"Dayton, OH",390230027012014.00,0.090281771,0.117250674,28.58333333,13387,1,3
"Dayton, OH",391093450001021.00,0.724560469,0.117250674,24.87222222,17996,1,3
"Dayton, OH",391130020003005.00,0.052994171,0.117250674,28.63666667,14414,1,3
"Dayton, OH",391130503031017.00,0.076546763,0.117250674,27.98333333,16210,1,3
"Dayton, OH",391130503031022.00,0.085233251,0.117250674,28.20714286,16210,1,3
"Dayton, OH",391130503031015.00,0.157950655,0.117250674,27.76794872,16210,1,3
"Dayton, OH",391130503031002.00,0.065298507,0.117250674,28.52272727,16210,1,3
"Dayton, OH",391130503031021.00,0.122012579,0.117250674,26.65476191,16210,1,3
"Dayton, OH",390230029022018.00,0,0.117250674,25.75,15958,1,3
"Dayton, OH",391130008012021.00,0.254929144,0.117250674,27.31206897,18519,1,3
"Dayton, OH",391130008012031.00,0.20124805,0.117250674,27.7125,18519,1,3
"Dayton, OH",391130008012016.00,0.211976385,0.117250674,26.89666667,18519,1,3
"Dayton, OH",391130008012029.00,0.157374254,0.117250674,28.87692308,18519,1,3
"Dayton, OH",391130020002005.00,0.120468489,0.117250674,29.00625,16217,1,3
"Dayton, OH",391130020002004.00,0.099481865,0.117250674,28.766,16217,1,3
"Dayton, OH",391130020001036.00,0.019463087,0.117250674,30.76666667,14938,1,3
"Dayton, OH",391130020001021.00,0.006333122,0.117250674,29.18846154,14938,1,3
"Dayton, OH",391130020001028.00,0.040960452,0.117250674,30.34,14938,1,3
"Dayton, OH",391130020001026.00,0.177924217,0.117250674,28.52272727,14938,1,3
"Dayton, OH",391130020001019.00,0.013032146,0.117250674,28.43333333,14938,1,3
"Dayton, OH",391130019005004.00,0.110589025,0.117250674,28.8375,6749,1,3
"Dayton, OH",391130019005003.00,0.217374443,0.117250674,29.066,6749,1,3
"Dayton, OH",390572007001008.00,0.321465969,0.117250674,27.37,18014,1,3
"Dayton, OH",391130210001001.00,0.287246722,0.117250674,27.99285714,20576,1,3
"Dayton, OH",391130011004001.00,0.21039449,0.117250674,27.37,15202,1,3
"Dayton, OH",391130011004007.00,0.114568926,0.117250674,28.19736842,15202,1,3
"Dayton, OH",391093652004005.00,0.423185674,0.117250674,27.99,20579,1,3
"Dayton, OH",391093652004008.00,0.370957901,0.117250674,27.7125,20579,1,3
"Dayton, OH",391093652004007.00,0.337621697,0.117250674,28.31153846,20579,1,3
"Dayton, OH",391130012001033.00,0.131868132,0.117250674,28.05,10854,1,3
"Dayton, OH",391130012001002.00,0.180848226,0.117250674,26.92272727,10854,1,3
"Dayton, OH",391130012001003.00,0.15819209,0.117250674,28.40714286,10854,1,3
"Dayton, OH",390572005003001.00,0.174671815,0.117250674,28.47941177,10343,1,3
"Dayton, OH",391130805004016.00,0.314696486,0.117250674,27.4,16744,1,3
"Dayton, OH",391130002003007.00,0.273148148,0.117250674,26.2625,11626,1,3
"Dayton, OH",390572403023006.00,0.120796689,0.117250674,26.68529412,15213,1,3
"Dayton, OH",391130026002010.00,0.132709251,0.117250674,28.77608696,16494,1,3
"Dayton, OH",391130026002013.00,0.080064481,0.117250674,28.83461539,16494,1,3
"Dayton, OH",391130026002005.00,0.043715847,0.117250674,29.64047619,16494,1,3
"Dayton, OH",391130026002006.00,0.112750263,0.117250674,29.47857143,16494,1,3
"Dayton, OH",391130026002012.00,0.065084586,0.117250674,29.06,16494,1,3
"Dayton, OH",391130026002011.00,0.130842949,0.117250674,29.1452381,16494,1,3
"Dayton, OH",391130026002002.00,0.141321389,0.117250674,28.31666667,16494,1,3
"Dayton, OH",391130008013000.00,0.115335599,0.117250674,28.135,13680,1,3
"Dayton, OH",391093450003030.00,0.446215139,0.117250674,29.05,20338,1,3
"Dayton, OH",391130211001004.00,0.126538294,0.117250674,28.875,15731,1,3
"Dayton, OH",391130211001002.00,0.133004926,0.117250674,28.41888889,15731,1,3
"Dayton, OH",391130211001003.00,0.140408498,0.117250674,28.81363636,15731,1,3
"Dayton, OH",391093653015013.00,0.164497041,0.117250674,28.53461539,18547,1,3
"Dayton, OH",391130023002018.00,0.026132404,0.117250674,0,9591,1,3
"Dayton, OH",391130023002000.00,0.215875517,0.117250674,28.03,9591,1,3
"Dayton, OH",391130023002019.00,0.125373134,0.117250674,28.61666667,9591,1,3
"Dayton, OH",391130023002005.00,0.118846345,0.117250674,28.88888889,9591,1,3
"Dayton, OH",391130023002006.00,0.194225074,0.117250674,28.66176471,9591,1,3
"Dayton, OH",391130023002017.00,0.015673981,0.117250674,29,9591,1,3
"Dayton, OH",391130023002007.00,0.051193558,0.117250674,28.60294118,9591,1,3
"Dayton, OH",391130023002008.00,0.103468664,0.117250674,28.39583333,9591,1,3
"Dayton, OH",391130023002009.00,0.221013749,0.117250674,27.945,9591,1,3
"Dayton, OH",391130023002016.00,0.107972545,0.117250674,29.27666667,9591,1,3
"Dayton, OH",390572007003012.00,0.278993659,0.117250674,28.51428571,19575,1,3
"Dayton, OH",390572007003007.00,0.085749037,0.117250674,30.09347826,19575,1,3
"Dayton, OH",391130033002005.00,0.044537595,0.117250674,29.48333333,20347,1,3
"Dayton, OH",391130033002006.00,0.112873563,0.117250674,29.15555556,20347,1,3
"Dayton, OH",391130033002002.00,0.085180055,0.117250674,28.61666667,20347,1,3
"Dayton, OH",391130033002007.00,0.098330665,0.117250674,29.085,20347,1,3
"Dayton, OH",391130033002011.00,0.08987701,0.117250674,28.50555556,20347,1,3
"Dayton, OH",391130033002008.00,0.120851453,0.117250674,28.685,20347,1,3
"Dayton, OH",391130033002012.00,0.055212014,0.117250674,28.68333333,20347,1,3
"Dayton, OH",391130705002001.00,0.012676949,0.117250674,28.55454546,19327,1,3
"Dayton, OH",391130705002004.00,0.00501972,0.117250674,27.602,19327,1,3
"Dayton, OH",391130042001019.00,0.178983229,0.117250674,27.21666667,7045,1,3
"Dayton, OH",391130042001021.00,0.050384885,0.117250674,28.1375,7045,1,3
"Dayton, OH",391130042001020.00,0.054054054,0.117250674,27.4,7045,1,3
"Dayton, OH",391130042001023.00,0.021945433,0.117250674,27.75322581,7045,1,3
"Dayton, OH",391130042001014.00,0.062462098,0.117250674,27.41,7045,1,3
"Dayton, OH",391130042001022.00,0.04525627,0.117250674,27.9375,7045,1,3
"Dayton, OH",391130042001012.00,0.03751042,0.117250674,27.51666667,7045,1,3
"Dayton, OH",391130008011022.00,0.093063089,0.117250674,28.225,17799,1,3
"Dayton, OH",391130008011017.00,0.188650307,0.117250674,27.78333333,17799,1,3
"Dayton, OH",391130022003009.00,0.124440466,0.117250674,28.13,13961,1,3
"Dayton, OH",391130022004014.00,0.128429423,0.117250674,27.96666667,13961,1,3
"Dayton, OH",391130022001011.00,0.067134269,0.117250674,29.40555556,13961,1,3
"Dayton, OH",391130022003005.00,0.165535445,0.117250674,29.5,13961,1,3
"Dayton, OH",391130022004003.00,0.12886049,0.117250674,28.00555556,13961,1,3
"Dayton, OH",391130022003020.00,0.046659867,0.117250674,28.41470588,13961,1,3
"Dayton, OH",391130022001004.00,0.128787879,0.117250674,29.4,13961,1,3
"Dayton, OH",391130022001012.00,0.131056678,0.117250674,28.74090909,13961,1,3
"Dayton, OH",391130022002019.00,0.03650935,0.117250674,28.45,13961,1,3
"Dayton, OH",391130022003018.00,0.202207727,0.117250674,27.11666667,13961,1,3
"Dayton, OH",391130022002005.00,0.176458202,0.117250674,28.12619048,13961,1,3
"Dayton, OH",391130022001005.00,0.138182622,0.117250674,29.16904762,13961,1,3
"Dayton, OH",391130022002010.00,0.174568966,0.117250674,27.96,13961,1,3
"Dayton, OH",391130022002007.00,0.200938567,0.117250674,29.07222222,13961,1,3
"Dayton, OH",391130022004008.00,0.144016227,0.117250674,28.01666667,13961,1,3
"Dayton, OH",391130022003021.00,0.114420935,0.117250674,27.94444444,13961,1,3
"Dayton, OH",391130022004013.00,0.035047552,0.117250674,28.42083333,13961,1,3
"Dayton, OH",391130022001007.00,0.025751073,0.117250674,30.6,13961,1,3
"Dayton, OH",391130022003026.00,0.028809704,0.117250674,27.95,13961,1,3
"Dayton, OH",391130022002009.00,0.094940476,0.117250674,28.38571429,13961,1,3
"Dayton, OH",391130503011011.00,0.162218591,0.117250674,27.88529412,17546,1,3
"Dayton, OH",391130805005004.00,0.055140103,0.117250674,29.24527027,7568,1,3
"Dayton, OH",391130018003049.00,0.04936902,0.117250674,28.71285714,14225,1,3
"Dayton, OH",391130018003030.00,0.063502674,0.117250674,28.3375,14225,1,3
"Dayton, OH",391130018003022.00,0.079147641,0.117250674,27.95,14225,1,3
"Dayton, OH",391130018003004.00,0.015294118,0.117250674,28.35,14225,1,3
"Dayton, OH",391130018003017.00,0.060505719,0.117250674,28.67222222,14225,1,3
"Dayton, OH",391130005001025.00,0.188559322,0.117250674,27.75,14228,1,3
"Dayton, OH",391130005001017.00,0.209488425,0.117250674,28.16176471,14228,1,3
"Dayton, OH",391130801003000.00,0.021307158,0.117250674,31.035,15252,1,3
"Dayton, OH",391130019003009.00,0.146484785,0.117250674,29.32727273,20118,1,3
"Dayton, OH",391130019003008.00,0.154897861,0.117250674,28.71296296,20118,1,3
"Dayton, OH",391130007002001.00,0.226542688,0.117250674,26.46666667,14494,1,3
"Dayton, OH",390572403022037.00,0.162616822,0.117250674,27.45,17310,1,3
"Dayton, OH",390572403022033.00,0.119298246,0.117250674,28.57,17310,1,3
"Dayton, OH",390572403022007.00,0.044472681,0.117250674,28.925,17310,1,3
"Dayton, OH",391130018002024.00,0.040801187,0.117250674,29.26818182,12191,1,3
"Dayton, OH",391130018002039.00,0.025708635,0.117250674,28.90833333,12191,1,3
"Dayton, OH",391130018002048.00,0.050661959,0.117250674,28.87962963,12191,1,3
"Dayton, OH",391130018002027.00,0.070773931,0.117250674,29.59444444,12191,1,3
"Dayton, OH",391130018002033.00,0.057720409,0.117250674,28.47105263,12191,1,3
"Dayton, OH",391130018002049.00,0.060829817,0.117250674,28.27068966,12191,1,3
"Dayton, OH",391130018002036.00,0.049324077,0.117250674,28.46111111,12191,1,3
"Dayton, OH",391130018002050.00,0.065323898,0.117250674,28.87857143,12191,1,3
"Dayton, OH",391130018002034.00,0.046410155,0.117250674,28.80833333,12191,1,3
"Dayton, OH",391130018002026.00,0.052962298,0.117250674,29.01,12191,1,3
"Dayton, OH",391130018002040.00,0.046934461,0.117250674,28.76111111,12191,1,3
"Dayton, OH",391130018002022.00,0.097213622,0.117250674,28.86333333,12191,1,3
"Dayton, OH",391130035001010.00,0.024603609,0.117250674,29.5125,8354,1,3
"Dayton, OH",391130035001027.00,0.112517581,0.117250674,29.06333333,8354,1,3
"Dayton, OH",391130035001026.00,0.086827157,0.117250674,29.90625,8354,1,3
"Dayton, OH",391093650005062.00,0.405901639,0.117250674,28.51153846,12197,1,3
"Dayton, OH",391130301001009.00,0.01036941,0.117250674,29.46666667,19622,1,3
"Dayton, OH",391130301001012.00,0.075731671,0.117250674,29.95652174,19622,1,3
"Dayton, OH",391130906001025.00,0.046819232,0.117250674,27.845,19370,1,3
"Dayton, OH",391130906001007.00,0.053407486,0.117250674,30.15204082,19370,1,3
"Dayton, OH",391130906001008.00,0.018744142,0.117250674,29.97727273,19370,1,3
"Dayton, OH",391130023001001.00,0.10138941,0.117250674,29.12391304,14252,1,3
"Dayton, OH",391130023001006.00,0.151137761,0.117250674,29.0362069,14252,1,3
"Dayton, OH",391130023001016.00,0.148868683,0.117250674,28.69347826,14252,1,3
"Dayton, OH",391130023001002.00,0.112181818,0.117250674,29.214,14252,1,3
"Dayton, OH",391130023001014.00,0.074611399,0.117250674,29.00238095,14252,1,3
"Dayton, OH",391093653014007.00,0.300128041,0.117250674,27.70294118,19631,1,3
"Dayton, OH",391130011005011.00,0.10880829,0.117250674,28.18,14774,1,3
"Dayton, OH",391131652001007.00,0.143127364,0.117250674,27.6,19127,1,3
"Dayton, OH",391131652001003.00,0.227414939,0.117250674,27.2,19127,1,3
"Dayton, OH",391131652001004.00,0.045311846,0.117250674,28.43636364,19127,1,3
"Dayton, OH",390572004002056.00,0.074320242,0.117250674,28.62142857,17085,1,3
"Dayton, OH",390572004002021.00,0.001489203,0.117250674,29.75,17085,1,3
"Dayton, OH",390572004002058.00,0.051957831,0.117250674,29.01666667,17085,1,3
"Dayton, OH",390572004002017.00,0.148864334,0.117250674,28.92142857,17085,1,3
"Dayton, OH",390572004002031.00,0.025916561,0.117250674,30.46666667,17085,1,3
"Dayton, OH",390572403021019.00,0.291299559,0.117250674,27.71,19902,1,3
"Dayton, OH",390572403021011.00,0.230280572,0.117250674,27.62777778,19902,1,3
"Dayton, OH",390572403021024.00,0.169604863,0.117250674,27.9,19902,1,3
"Dayton, OH",390572403021003.00,0.142785066,0.117250674,28.11666667,19902,1,3
"Dayton, OH",391130043001016.00,0.049654194,0.117250674,28.1,12738,1,3
"Dayton, OH",391130043001015.00,0.072163831,0.117250674,28.20238095,12738,1,3
"Dayton, OH",391130043001046.00,0.139598733,0.117250674,26.77727273,12738,1,3
"Dayton, OH",391130043001011.00,0.156325544,0.117250674,26.29,12738,1,3
"Dayton, OH",391130043001027.00,0.038974907,0.117250674,27.38043478,12738,1,3
"Dayton, OH",391130019001013.00,0.030548068,0.117250674,28.94333333,9155,1,3
"Dayton, OH",391130019001054.00,0,0.117250674,30.15,9155,1,3
"Dayton, OH",391130019001025.00,0.058884298,0.117250674,29.71666667,9155,1,3
"Dayton, OH",391130804001007.00,0.028284974,0.117250674,29.27575758,17605,1,3
"Dayton, OH",391130804001006.00,0.007808433,0.117250674,29.02647059,17605,1,3
"Dayton, OH",391130804001019.00,0.14139167,0.117250674,29.13918919,17605,1,3
"Dayton, OH",391130804001015.00,0.021192217,0.117250674,28.75,17605,1,3
"Dayton, OH",391130019006018.00,0.167521883,0.117250674,28.63461539,12230,1,3
"Dayton, OH",391130019006029.00,0.170341548,0.117250674,28.41956522,12230,1,3
"Dayton, OH",391130019006027.00,0.235451306,0.117250674,28.24333333,12230,1,3
"Dayton, OH",391130019006019.00,0.181385668,0.117250674,28.9375,12230,1,3
"Dayton, OH",391130019006000.00,0.019287834,0.117250674,29.61666667,12230,1,3
"Dayton, OH",391130019006026.00,0.261806511,0.117250674,28.29736842,12230,1,3
"Dayton, OH",391130019006016.00,0.331508213,0.117250674,28.93,12230,1,3
"Dayton, OH",390572406005042.00,0.20754717,0.117250674,26.83571429,11464,1,3
"Dayton, OH",390572406005036.00,0.024484536,0.117250674,27.65,11464,1,3
"Dayton, OH",391130034041057.00,0.044230181,0.117250674,29.61785714,15051,1,3
"Dayton, OH",391130034041070.00,0.005353319,0.117250674,29.95,15051,1,3
"Dayton, OH",391130023003007.00,0.177997076,0.117250674,30.23333333,11726,1,3
"Dayton, OH",391130023003003.00,0.126742712,0.117250674,29.23636364,11726,1,3
"Dayton, OH",391130023003013.00,0.076153021,0.117250674,27.78333333,11726,1,3
"Dayton, OH",391130023003001.00,0.128778897,0.117250674,28.70185185,11726,1,3
"Dayton, OH",391130023003004.00,0.047906602,0.117250674,29.47,11726,1,3
"Dayton, OH",391130010002010.00,0.167567568,0.117250674,27.95,13518,1,3
"Dayton, OH",391130010002014.00,0.154234234,0.117250674,27.82692308,13518,1,3
"Dayton, OH",391130008021002.00,0.161030596,0.117250674,27.95714286,17363,1,3
"Dayton, OH",391130008021000.00,0.172449508,0.117250674,27.61111111,17363,1,3
"Dayton, OH",391130026004003.00,0.05976887,0.117250674,29.41,13525,1,3
"Dayton, OH",391130034021003.00,0.057898499,0.117250674,27.15,8151,1,3
"Dayton, OH",391130034021011.00,0.033312642,0.117250674,30.85476191,8151,1,3
"Dayton, OH",391130034021032.00,0.004839419,0.117250674,31.03,8151,1,3
"Dayton, OH",391130034021013.00,0.050316274,0.117250674,30.42058824,8151,1,3
"Dayton, OH",391130034021023.00,0.01845958,0.117250674,29.89285714,8151,1,3
"Dayton, OH",391130702011009.00,0.243101183,0.117250674,26.83888889,13016,1,3
"Dayton, OH",391130801002017.00,0.099426386,0.117250674,28.75666667,16095,1,3
"Dayton, OH",391130801002031.00,0.039208822,0.117250674,30.438,16095,1,3
"Dayton, OH",391130211003010.00,0.295687332,0.117250674,27.5375,19169,1,3
"Dayton, OH",391130301002043.00,0.189522342,0.117250674,28.3,18661,1,3
"Dayton, OH",391130301002040.00,0.148636763,0.117250674,27.25,18661,1,3
"Dayton, OH",391131651002116.00,0.058310627,0.117250674,29.22647059,13034,1,3
"Dayton, OH",391130024001027.00,0.124914676,0.117250674,28.4,16363,1,3
"Dayton, OH",391130024001008.00,0.163113227,0.117250674,28.34047619,16363,1,3
"Dayton, OH",391130024001026.00,0.141751042,0.117250674,28.13333333,16363,1,3
"Dayton, OH",391130009004003.00,0.254600736,0.117250674,26.57692308,16880,1,3
"Dayton, OH",391130009004002.00,0.250784245,0.117250674,26.8462963,16880,1,3
"Dayton, OH",391130009004001.00,0.183784766,0.117250674,27.6,16880,1,3
"Dayton, OH",391130009004006.00,0,0.117250674,29.1,16880,1,3
"Dayton, OH",391130030002038.00,0.103128621,0.117250674,29.03461539,20208,1,3
"Dayton, OH",391130030002023.00,0.042570281,0.117250674,28.93333333,20208,1,3
"Dayton, OH",391130030002029.00,0.030645161,0.117250674,29.25909091,20208,1,3
"Dayton, OH",391130035003014.00,0.049445471,0.117250674,30.59,17907,1,3
"Dayton, OH",391130211002004.00,0.206608114,0.117250674,27.1875,18675,1,3
"Dayton, OH",391130504022014.00,0.095448799,0.117250674,27.76666667,15349,1,3
"Dayton, OH",391130504022007.00,0.160326463,0.117250674,26.76515152,15349,1,3
"Dayton, OH",391130701013006.00,0.043832778,0.117250674,27.6449495,17397,1,3
"Dayton, OH",391131002011010.00,0.135653604,0.117250674,29.20625,18422,1,3
"Dayton, OH",391131002011004.00,0.211495947,0.117250674,28.64230769,18422,1,3
"Dayton, OH",391131002011003.00,0.232756174,0.117250674,28.03235294,18422,1,3
"Dayton, OH",391130033001001.00,0.154811025,0.117250674,27.6375,13819,1,3
"Dayton, OH",391130033001011.00,0.053361793,0.117250674,28.28333333,13819,1,3
"Dayton, OH",391130033001000.00,0.106596943,0.117250674,27.98846154,13819,1,3
"Dayton, OH",391130033001010.00,0.090142672,0.117250674,28.43125,13819,1,3
"Dayton, OH",391130033001007.00,0.162362815,0.117250674,27.98846154,13819,1,3
"Dayton, OH",391130806001013.00,0.019001086,0.117250674,28.07857143,17660,1,3
"Dayton, OH",391130806001016.00,0.023734177,0.117250674,28.05,17660,1,3
"Dayton, OH",391093652002008.00,0.561593172,0.117250674,27.94375,15358,1,3
"Dayton, OH",391093652002015.00,0.338070059,0.117250674,28.05,15358,1,3
"Dayton, OH",391093652002013.00,0.288812392,0.117250674,28.48846154,15358,1,3
"Dayton, OH",390572001042052.00,0.146985498,0.085867621,28.1030303,8201,1,4
"Dayton, OH",390572001042053.00,0.386693915,0.085867621,27.10357143,8201,1,4
"Dayton, OH",391130034031007.00,0.082377919,0.085867621,27.31585366,3595,1,4
"Dayton, OH",391130034031005.00,0.037329901,0.085867621,29.39444444,3595,1,4
"Dayton, OH",391130034031004.00,0.034351145,0.085867621,29.34,3595,1,4
"Dayton, OH",391130018001004.00,0.006079027,0.085867621,27.525,12308,1,4
"Dayton, OH",391130041001037.00,0.006053269,0.085867621,28.825,6441,1,4
"Dayton, OH",391130041001038.00,0.001831502,0.085867621,28.6,6441,1,4
"Dayton, OH",391131001014001.00,0.015439048,0.085867621,28.90454546,19758,1,4
"Dayton, OH",391131001014011.00,0.010510511,0.085867621,29.65,19758,1,4
"Dayton, OH",391130034022017.00,0.052216151,0.085867621,28.61428571,8753,1,4
"Dayton, OH",391130034022016.00,0.083017769,0.085867621,29.7125,8753,1,4
"Dayton, OH",391130034022009.00,0.030254412,0.085867621,30.515,8753,1,4
"Dayton, OH",391130034022019.00,0.04630254,0.085867621,29.35,8753,1,4
"Dayton, OH",391130034022018.00,0.094963274,0.085867621,28.63235294,8753,1,4
"Dayton, OH",391130034022008.00,0.069129583,0.085867621,29.85967742,8753,1,4
"Dayton, OH",391130038001006.00,0.007075472,0.085867621,26.91666667,11095,1,4
"Dayton, OH",391130038001013.00,0.021116139,0.085867621,26.95,11095,1,4
"Dayton, OH",391130603003001.00,0.412540412,0.085867621,25.604,5490,1,4
"Dayton, OH",390572007003010.00,0.054818744,0.085867621,29.48333333,19575,1,4
"Dayton, OH",390572007003001.00,0.157080217,0.085867621,28.4375,19575,1,4
"Dayton, OH",390572007003008.00,0.015673981,0.085867621,30.05,19575,1,4
"Dayton, OH",390572007003009.00,0.026340546,0.085867621,29.8,19575,1,4
"Dayton, OH",390572007003011.00,0.015602837,0.085867621,29.85,19575,1,4
"Dayton, OH",390572007003006.00,0,0.085867621,29.9,19575,1,4
"Dayton, OH",391130042001015.00,0.182485876,0.085867621,27.175,7045,1,4
"Dayton, OH",391130042001024.00,0.009174312,0.085867621,28.66428571,7045,1,4
"Dayton, OH",391130042001018.00,0.02171767,0.085867621,27.26428571,7045,1,4
"Dayton, OH",391130022003008.00,0.002466091,0.085867621,28.1,13961,1,4
"Dayton, OH",391130022003017.00,0.006550218,0.085867621,27.05,13961,1,4
"Dayton, OH",391130805005005.00,0.008,0.085867621,29.42692308,7568,1,4
"Dayton, OH",391130017002020.00,0.004761905,0.085867621,28.65,-99,1,4
